"institution","collection","recordsets","recordsetQuery","institution_code","collection_code","collection_uuid","collection_lsid","collection_url","collection_catalog_url","description","descriptionForSpecialists","cataloguedSpecimens","knownToContainTypes","taxonCoverage","geographic_range","collectionExtent","contact","contact_role","contact_email","mailing_address","mailing_city","mailing_state","mailing_zip","physical_address","physical_city","physical_state","physical_zip","UniqueNameUUID","attributionLogoURL","providerManagedID","derivedFrom","sameAs","flags","portalDisplay","lat","lon"
"Wayne State College, A. Jewell Schock Museum of Natural History","Natural History","","","WSC","AJSM","urn:uuid:eb5c6dd9-37a7-4b69-8337-bd8a023766f9","","http://www.wsc.edu/museum","","Currently we have cataloged our herpetology collection and have almost completed cataloging our ornithology collection.  We also have a mammal collection, fish collection, freshwater mollusc collection, and entomology collections.","",2000,TRUE,"Herpetology (Nebraska and Texas mostly), ornithology (mostly Nebraska), entomology (mostly Nebraska Sand Hills), Mammals (mostly Nebraska)","Mostly Nebraska, but does include specimens from Texas, Louisiana, Southern California, and a few other states.","","Kelly Dilliard","Director","kedilli1@wsc.edu","1111 Main St","Wayne","Nebraska","68787","Carhart Science Building, 1111 Main St","Wayne","Nebraska","68787","","","","","","","",42.229,-97.0178
"Ohio State University, Museum of Biological Diversity, C. A. Triplehorn Insect Collection","Insects","fc628e53-5fdf-4436-9782-bf637d812b48","{""recordset"":""fc628e53-5fdf-4436-9782-bf637d812b48""}","OSU","","urn:uuid:eb66c58e-5c64-4c78-80cf-2f31e7605664","","http://osuc.osu.edu/","http://osuc.osu.edu/search.html","","",NA,NA,"","","","Norman F. Johnson","Director","johnson.2@osu.edu","1315 Kinnear Road","Columbus","Ohio","43212","","Columbus","Ohio","43212","urn:uuid:5f0e4e8a-184f-49fb-95b5-09af872598f2","","","","","","",39.9871,-83.0428
"Gulf Coast Research Laboratory","Invertebrates","","","","","urn:uuid:eb7283d5-40c0-4f79-9327-24a1cda21e0b","","http://www.usm.edu/gcrl/museum/invertebrates/search.php","","","",NA,NA,"","","","Sara E. LeCroy","Curator","Sara.LeCroy@usm.edu","P.O. Box 7000","Ocean Springs","Mississippi","39564","703 East Beach Drive.","Ocean Springs","Mississippi","39564","urn:uuid:06c53d8d-d9da-4155-abe2-bdb624efe2e3","","","","","","",30.3935,-88.7986
"University of Illinois, Illinois Natural History Survey","Herbarium","62f951c1-b6a8-430c-8652-5691f079152c, f0174bc9-0cca-450e-a941-655d80040139","{""recordset"":[""62f951c1-b6a8-430c-8652-5691f079152c"","" f0174bc9-0cca-450e-a941-655d80040139""]}","ILLS","","urn:uuid:eb764b8b-e8e9-4541-a2e8-8bbef09fcc12","http://grbio.org/cool/73j9-ncg5","http://wwx.inhs.illinois.edu/collections/plants","","80% of the ILLS collection is from within Illinois with a significant number of Threatened and Endangered species. ILLS also holds a sizable number of specimens collected from the Great Smokey Mountains National Park (GSMNP), Kyrgyzstan, and China.","",250000,NA,"","80% of the ILLS collection is from within Illinois with a significant number of Threatened and Endangered species. ILLS also holds a sizable number of specimens collected from the Great Smokey Mountains National Park (GSMNP), Kyrgyzstan, and China.","250000","Jamie Minnaert-Grote","Collection Manager","minnaert@illinois.edu","1816 South Oak Street, MC 652","Champaign","Illinois","61820","1816 South Oak Street, MC 652","Champaign","Illinois","61820","urn:uuid:d0689818-af23-4395-8251-82df8f68b028","","","","","","",40.132,-88.2332
"Texas A&M University, Biodiversity Research and Teaching Collections","Amphibians and Reptiles","79dfdec6-3e24-489c-a7ce-85dcc52bc3f9","{""recordset"":[""79dfdec6-3e24-489c-a7ce-85dcc52bc3f9""],""collectioncode"":[""Herpetology""]}","TCWC","Herpetology","urn:uuid:ebbb07fb-7d1e-412f-b232-872e1fe1a860","","http://brtc.tamu.edu/collections/herpetology_collection/","","","",NA,NA,"","","","Lee A. Fitzgerald","Chief Curator","lfitzgerald@tamu.edu","Biodiversity Research and Teaching Collections, Department of Wildlife and Fisheries Sciences, TAMU 2258","College Station","Texas","77843","Biodiversity Research and Teaching Collections, Department of Wildlife and Fisheries Sciences, TAMU 2258","College Station","Texas","77843","urn:uuid:67ed2c89-ad4a-402e-8296-78107b9f148b","","","","","","",30.1484,-96.3107
"College of the Atlantic, George B. Dorr Museum","Eggs","43fc7071-8c60-450a-a940-91f363781aa9","{""recordset"":""43fc7071-8c60-450a-a940-91f363781aa9""}","COA","Bird eggs","urn:uuid:ec1e54d4-02f5-44b2-9adf-2f2e655697eb","","http://www.coa.edu/dorr-museum-microsite.htm","","","",NA,NA,"","","","Scott Swann","Collections Manager","sswann@coa.edu","105 Eden Street","Bar Harbor","Maine","04609-0000","105 Eden Street","Bar Harbor","Maine","04609-0000","urn:uuid:64ef6dc5-eeb3-40ff-b2d2-80c7a99ebf5c","","","","","","",44.3924,-68.2201
"University of Oregon, The Museum of Natural and Cultural History","Paleontology","667c2736-bcd3-4a6a-abf4-db5d2dc815c4","{""recordset"":""667c2736-bcd3-4a6a-abf4-db5d2dc815c4""}","UOMNH","CFC","urn:uuid:ec507154-629b-41d6-810a-8ffbf75ec12b","","http://natural-history.uoregon.edu/collections/paleontology-collections","","","",NA,NA,"","","","Greg Retallack","Co-Director","gregr@uoregon.edu","1680 E. 15th Ave","Eugene","Oregon","97403-1224","1680 E. 15th Ave","Eugene","Oregon","97403-1224","urn:uuid:9f36297a-4423-4f1d-88ef-2b0d1828bffe","","","","","","",44.0433,-123.0684
"University of California Santa Barbara, Cheadle Center for Biodiversity and Ecological Restoration","Ornithology","191206d2-a389-471c-9f9d-c0b8b00c35f8","{""recordset"":""191206d2-a389-471c-9f9d-c0b8b00c35f8""}","CCBER","UCSB","urn:uuid:ecd277d0-5a52-430f-96bd-26710bd1872d","","http://ccber.ucsb.edu/collections/ornithology","http://biobase.eri.ucsb.edu:8080/specify-solr/ornithology/","The collection has especially large series of several species that have figured prominently in the literature on ornithology, evolution, behavior and physiology, such as the White-crowned Sparrow, Brown-headed Cowbird, Grebes, Acorn Woodpecker, Wrentit, Savannah Sparrow, and Spotted Towhee. There is a good representation of species found in southern California, including the near ocean and the Channel Islands, and also many species found elsewhere in North America, Mexico, and Europe. Special efforts have been made to collect species of particular biogeographic interest in southern California, such as those that have subspecies boundaries within the region.","",9400,NA,"The collection has especially large series of several species that have figured prominently in the literature on ornithology, evolution, behavior and physiology, such as the White-crowned Sparrow, Brown-headed Cowbird, Grebes, Acorn Woodpecker, Wrentit, Savannah Sparrow, and Spotted Towhee.","There is a good representation of species found in southern California, including the near ocean and the Channel Islands, and also many species found elsewhere in North America, Mexico, and Europe. Special efforts have been made to collect species of particular biogeographic interest in southern California, such as those that have subspecies boundaries within the region.","9400","Katja Seltmann","Director","seltmann@ccber.ucsb.edu","Cheadle Center for Biodiversity and Ecological Restoration, Harder South, Building 578, MS-9615, University of California Santa Barbara","Santa Barbara","California","93106","Cheadle Center for Biodiversity and Ecological Restoration, Harder South, Building 578, MS-9615, University of California Santa Barbara","Santa Barbara","California","93106","urn:uuid:2a74fd30-dea3-4927-8bd7-3c1a275da8ae","","","","","","",34.4453,-119.8034
"Reed College","Herbarium","ea9de87b-7231-4a05-809f-4b658ea4173d","{""recordset"":""ea9de87b-7231-4a05-809f-4b658ea4173d""}","REED<IH>","","urn:uuid:ed0df009-99aa-495a-becb-4a99284becd0","","","","","",NA,NA,"","","","Keith Karoly","Curator","kkaroly@reed.edu","Biology Department, 3203 SE Woodstock Blvd.","Portland","Oregon","97202","","Portland","Oregon","97202","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=153707","","",45.4817,-122.6373
"West Virginia Wesleyan College, Rossbach Herbarium","Herbarium","","","WVW<IH>","","urn:uuid:ed10ca68-a862-46e2-9750-0380a5b4c146","urn:lsid:biocol.org:col:15409","http://cdm271901.cdmhost.com/cdm/landingpage/collection/p15135coll5","","","",NA,NA,"","","","Katharine Gregg","Curator","Gregg@wvwc.edu","Department of Biology, 59 College Avenue, Christopher Hall of Sciences","Buckhannon","West Virginia","26201-2600","Department of Biology, 59 College Avenue, Christopher Hall of Sciences","Buckhannon","West Virginia","26201-2600","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=127018","","",38.9871,-80.2236
"Our Lady of the Lake University","Herbarium","","","LLC<IH>","","urn:uuid:ed229dda-2385-4e54-bba0-4e57acc13fb7","urn:lsid:biocol.org:col:13828","","","","",NA,NA,"","","","Cary Guffey","Curator","cguffey@lake.ollusa.edu","Biology Department, 411 Southwest 24th Street","San Antonio","Texas","78207-4689","Third floor, Science Building.","San Antonio","Texas","78207-4689","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=125634","","",29.1911,-98.4419
"Palomar College Herbarium","Herbarium","","","PASM<IH>","","urn:uuid:ed2541df-9409-4af1-8a4b-7699f18ae171","urn:lsid:biocol.org:col:14955","http://waynesword.palomar.edu/wayne.htm","","","",NA,NA,"","","","Wayne P. Armstrong","Director","warmstrong@palomar.edu","Life Sciences Department, Palomar College, 1140 West Mission Road","San Marcos","California","92069-1487","Life Sciences Department, Palomar College, 1140 West Mission Road","San Marcos","California","92069-1487","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=125651","","",33.151,-117.1906
"Arizona State University, Frank F. Hasbrouck Insect Collection","Insects","ab4b6a2b-a90a-44ce-95a1-2c44c911fcc6","{""recordset"":""ab4b6a2b-a90a-44ce-95a1-2c44c911fcc6""}","ASU","ASUHIC","urn:uuid:ed26928d-9307-4b11-993c-c20927cf5228","http://grbio.org/cool/es78-wfwz","http://taxonbytes.org/asuhic/","http://symbiota4.acis.ufl.edu/scan/portal/collections/misc/collprofiles.php?collid=1","","",NA,NA,"","","","Nico Franz","Curator","nico.franz@asu.edu","School of Life Sciences, P.O. Box 874501","Tempe","Arizona","85287-4501","School of Life Sciences, P.O. Box 874501","Tempe","Arizona","85287-4501","urn:uuid:313ac73c-6372-41a6-a1da-bf270c2b1b2e","","","","","","",33.4285,-111.9349
"Indiana State University","Herbarium","","","TER<IH>","","urn:uuid:edb7cafa-301b-499e-8d26-07e99dc31c2e","urn:lsid:biocol.org:col:13273","","","","",NA,NA,"","","","Dr. Eric Knox","Director","eknox@indiana.edu","Department of Biology","Terre Haute","Indiana","47809","","Terre Haute","Indiana","47809","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=124809","","",39.471,-87.4111
"Furman University","Herbarium","","","FUGR<IH>","","urn:uuid:ee9a8e25-df44-4cc1-b0b4-5918efc9cacf","urn:lsid:biocol.org:col:13041","","","","",NA,NA,"","","","A. Joseph Pollard","Director","joe.pollard@furman.edu","Biology Department","Greenville","South Carolina","29613","Poinsett Highway (U.S. Highway 25 North).","Greenville","South Carolina","29613","urn:uuid:64afe44d-929f-46ec-bc65-f349e20484d0","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=124601","","",34.9335,-82.4333
"University of Michigan, Museum of Zoology","Mollusks","9c5fea92-a28b-4b6e-94b5-9c939f7369a2,c94a06a5-df24-4546-adba-4f7940661826","{""recordset"":[""9c5fea92-a28b-4b6e-94b5-9c939f7369a2"",""c94a06a5-df24-4546-adba-4f7940661826""]}","UMMZ","MOL","urn:uuid:eea73f48-0204-4d6e-a475-edd0f794e1b0","","http://www.lsa.umich.edu/ummz/mollusks/default.asp","http://fms.lsa.umich.edu/fmi/iwp/cgi?-db=ummz_mollusks&-loadframes","","",NA,NA,"","","","Thomas Duda","Curator","tfduda@umich.edu","1109 Geddes Ave","Ann Arbor","Michigan","48109","1109 Geddes Ave","Ann Arbor","Michigan","48109","urn:uuid:64010831-b270-4db3-a6ed-27b99be98193","","","","","","",42.2779,-83.735
"Fairmont State University","Herbarium","","","FWVA<IH>","","urn:uuid:eec79d51-87ac-47fe-9b54-e062b6a1816e","urn:lsid:biocol.org:col:14988","","","","",NA,NA,"","","","Rachel Cook","Curator","rcook11@fairmontstate.edu","Biology Program","Fairmont","West Virginia","26554-2470","1201 Locust Avenue.","Fairmont","West Virginia","26554-2470","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=124510","","",39.4819,-80.1589
"Boston Children's Museum","Marine Invertebrates","","","","","urn:uuid:eed6613d-45bf-456e-975c-45ea9c921218","","","","Dry specimens","",NA,NA,"","","~45","Rachel Farkas ","","arkas@bostonchildrensmuseum.org","308 Congress Street","Boston","Massachusetts","02210-0000","308 Congress Street","Boston","Massachusetts","02210-0000","","","","","","","",42.3519,-71.0522
"Bridgewater College","Herbarium","","","BDWR<IH>","","urn:uuid:ef550ea9-eab2-44f9-8a9d-13432fd156a9","urn:lsid:biocol.org:col:12712","","","","",NA,NA,"","","","Edgar Lickey","Curator","elickey@bridgewater.edu","Biology Department, 402 E. College St., Box 125","Bridgewater","Virginia","22812-1599","","Bridgewater","Virginia","22812-1599","urn:uuid:9f2a0249-9122-41d1-9d6d-40d213c072a8","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=124115","","",38.3821,-78.9767
"Southern Oregon University","Herbarium","1e054b9b-0193-4ff3-b623-9264cf982d4d","{""recordset"":""1e054b9b-0193-4ff3-b623-9264cf982d4d""}","SOC<IH>","Vascular","urn:uuid:ef55feb4-baa1-4c65-a3c3-96d153095395","http://biocol.org/urn:lsid:biocol.org:col:14864","https://inside.sou.edu/biology/index.html","","Vascular plants of southern Oregon; bryophytes and lichens of the Pacific Northwest","",14000,NA,"","Vascular plants of southern Oregon; bryophytes and lichens of the Pacific Northwest","14000","Michael Parker","","parker@sou.edu","1250 Siskiyou Blvd.","Ashland","Oregon","97520","1250 Siskiyou Blvd.","Ashland","Oregon","97520","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=126016","","",42.1871,-122.6958
"Bernice Pauahi Bishop Museum","Entomology","a6e02b78-6fc6-4cb6-bb87-8d5a443f2c2a, 5975bbda-cd92-4084-8a09-ce1e28e6164f","[{""recordset"":[""a6e02b78-6fc6-4cb6-bb87-8d5a443f2c2a""],""collectioncode"":[""ENT"",""ENTTYP""]},{""recordset"":""5975bbda-cd92-4084-8a09-ce1e28e6164f"",""institutioncode"":""bpbm""}]","BPBM","ENT, ENTTYP","urn:uuid:ef629c33-d504-4c92-9183-0dcbfe11efa3","","http://www.bishopmuseum.org/research/natsci/ento/index.html","http://www.bishopmuseum.org/research/natsci/ento/entodbhome.html","Hawaii, New Guinea, Southeast Asia, the Philippines, Oceania","",14000000,NA,"","Hawaii, New Guinea, Southeast Asia, the Philippines, Oceania","14000000","James Boone","Collection Manager","jamesb@bishopmuseum.org","1525 Bernice Street","Honolulu","Hawaii","96817","1525 Bernice Street","Honolulu","Hawaii","96817","urn:uuid:cbcf115d-5f3e-4839-9579-b5c47d2beb42","","","","","","",21.333,-157.8693
"Texas A&M University Kingsville","Herbarium","","","TAIC<IH>","","urn:uuid:ef7997c2-bfec-40b3-b368-a22dd7a913c4","urn:lsid:biocol.org:col:14192","http://www.tamuk.edu/artsci/biology/herbarium/index.html","","","",NA,NA,"","","","Cynthia Galloway","Curator","c-galloway@tamuk.edu","Department of Biology, Campus Box 158","Kingsville","Texas","78363","Department of Biology, Campus Box 158","Kingsville","Texas","78363","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=126137","","",27.4229,-97.8407
"Ohio State University, Arabidopsis Biological Resource Center","Arabidopsis","","","ABRC","CS, CD, SALK","urn:uuid:efc0f94c-a0d3-4327-84fa-356d57c42705","","http://abrc.osu.edu/","https://www.arabidopsis.org","Brassicaceae, Arabidopsis Worldwide","",959000,NA,"Brassicaceae, Arabidopsis","Worldwide","959000","David Somers","Director","abrc@osu.edu","Rightmire Hall, 1060 Carmack Road","Columbus","Ohio","43210","Rightmire Hall, 1060 Carmack Road","Columbus","Ohio","43210","","","","","","","",40.0033,-83.0344
"Eastern Washington University","Herbarium","e701ecce-f9ab-445f-afcb-24f279efbc9c","{""recordset"":""e701ecce-f9ab-445f-afcb-24f279efbc9c""}","EWU","Vascular","urn:uuid:efe7f4f9-6a5c-40fc-96c9-957b8473c07e","","https://www.ewu.edu/cstem/departments/biology/facilities","","","",NA,NA,"","","","Robin O'Quinn","","roquinn@ewu.edu","Department of Biology, 258 Science Building","Cheney","Washington","99004","Department of Biology, 258 Science Building","Cheney","Washington","99004","","","","","","","",47.4898,-117.5845
"Boise State University, Snake River Plains Herbarium","Bryophytes","41350373-fc6f-4dd9-b908-27805fff9155","{""recordset"":""41350373-fc6f-4dd9-b908-27805fff9155""}","SRP<IH>","","urn:uuid:f03b467b-2400-40d6-81a2-08a41880345f","","","","","",NA,NA,"","","","James F. Smith","Director","jfsmith@boisestate.edu","Biology Department, 1910 University Drive","Boise","Idaho","83725-1515","Biology Department, 1910 University Drive","Boise","Idaho","83725-1515","urn:uuid:1fabd878-a432-414c-96e8-e5c020db998b","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=124064","","",43.6015,-116.2023
"Mississippi Museum of Natural Science","Freshwater Invertebrates","","","MMNS","MMNS","urn:uuid:f053e74e-9976-4fce-ba65-5594fa56c76d","","http://www.mdwfp.com/seek-study/bio-collections/freshwater-invert.aspx","","The collection is composed primarily of freshwater crustaceans (235 species) and freshwater mollusks (252 species). Included are paratypes of 52 species of decapod crustaceans and paratypes of the recently described freshwater mussel Anodonta hartfieldorum. The collection also contains 53 US listed species of mollusks and specimens of three US listed species of crustaceans. Crustaceans: 11 countries and 35 U.S. states. Mollusks: Three countries and 23 U.S. states.","",187000,NA,"The collection is composed primarily of freshwater crustaceans (235 species) and freshwater mollusks (252 species). Included are paratypes of 52 species of decapod crustaceans and paratypes of the recently described freshwater mussel Anodonta hartfieldorum. The collection also contains 53 US listed species of mollusks and specimens of three US listed species of crustaceans.","Crustaceans: 11 countries and 35 U.S. states. Mollusks: Three countries and 23 U.S. states.","187,000","Robert L Jones","Conservation Resources Biologist","bob.jones@mmns.state.ms.us","2148 Riverside Drive","Jackson","Mississippi","39202-1353","2148 Riverside Drive","Jackson","Mississippi","39202-1353","urn:uuid:bf10a742-42e9-44cd-9750-a3105c9c6c76","","","","","","",32.3233,-90.1601
"Denver Botanic Gardens, Kathryn Kalmbach Herbarium","Herbarium","5835f642-2560-4e3e-9c25-741a12cc3fe8","{""recordset"":""5835f642-2560-4e3e-9c25-741a12cc3fe8""}","KHD<IH>","KHD","urn:uuid:f06c8109-e7df-49f8-917f-a8a549dca5b0","urn:lsid:biocol.org:col:15415","http://www.botanicgardens.org/research-conservation/kathryn-kalmbach-herbarium","http://swbiodiversity.org/seinet/index.php","","",NA,NA,"","","","Jennifer Ramp Neale","Director of Research and Conservation","nealejr@botanicgardens.org","1007 York Street","Denver","Colorado","80206","1007 York Street","Denver","Colorado","80206","urn:uuid:e6c11c15-8861-47bb-8f5a-5fed3a49a07c","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=124388","","",39.7328,-104.9599
"Yale University, Peabody Museum of Natural History","Botany","6cab4420-11e4-4b55-85ac-6ecfdda70184, 7a8d946d-083f-4d2a-9cc9-cd590398194f, e1b03497-7632-4ba4-a9e0-dd230d06638c, 1527b668-b797-42be-94d3-0058e1393e94","{""recordset"":[""6cab4420-11e4-4b55-85ac-6ecfdda70184"",""7a8d946d-083f-4d2a-9cc9-cd590398194f"",""e1b03497-7632-4ba4-a9e0-dd230d06638c"",""1527b668-b797-42be-94d3-0058e1393e94""]}","YPM","YU","urn:uuid:f08f270d-f59e-4b3c-88c8-654e08832a0b","","http://peabody.yale.edu/collections/botany","http://peabody.yale.edu/collections/search-collections?bot","Global Marchantiophyta & Bryophyta; North American Monilophyta; North American Spermatophyta, but particularly strong in northeastern North America and western United States","",360000,NA,"Global Marchantiophyta & Bryophyta; North American Monilophyta; North American Spermatophyta, but particularly strong in northeastern North America and western United States","Global","360,000","Patrick Sweeney","Collections Manager","patrick.sweeney@yale.edu","Yale University, PO Box 208118","New Haven","Connecticut","06511-0000","170-210 Whitney Avenue","New Haven","Connecticut","06511-0000","urn:uuid:8eb8c789-898c-4e9e-9c26-68768c612a6d","","","","","","",41.3167,-72.9204
"University of California Riverside Earth Sciences Museum","Paleontology, petrology, mineralogy","","","UCRESM, UCR","UCRESM (new), UCR (old)","urn:uuid:f0947dbb-431a-477c-8af4-7372a0af6d38","","","","Fossil invertebrates ranging from Ediacaran through Paleocene, Holocene gastropods, rocks and minerals, a handful of vertebrate fossils (most of the vertebrate collection is now at UC Berkeley), small number of fossil plants. ","",10000,TRUE,"Fossil focus is on Cenozoic marine invertebrates of California (largely molluscs), Ollenid trilobites from the Mojave, graptolites, assorted Paleozoic invertebrates, and Mesozoic ammonites. Mineral collections include teaching and display collections. Rock collections mostly for teaching.","Worldwide","Full extent of collections uncertain, but may be upwards of a quarter of a million specimens and specimen lots.","Jess Miller-Camp","curator, collections manager, etc...","jess.miller-camp@ucr.edu","900 University Avenue","Riverside","","92521-0124","900 University Avenue","Riverside","California","92521-0124","urn:uuid:5eb51140-80e9-4d65-bb14-3e753daed011","","","","","","",33.978,-117.328
"Pacific Grove Museum of Natural History","Herbarium","","","PGM<IH>","","urn:uuid:f0a914d9-2301-4fa7-8c87-2e57b7c3e0dd","urn:lsid:biocol.org:col:14986","","","","",NA,NA,"","","","Nate King","Collections and Exhibits Manager","king@pgmuseum.org","165 Forest Avenue","Pacific Grove","California","93950-2612","","Pacific Grove","California","93950-2612","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=125638","","",36.6177,-121.9166
"Klamath Falls Resource Area, BLM","Herbarium","","","KFRA<IH>","","urn:uuid:f126dcf1-4028-41f1-ab60-fb01d838bf51","","","","1796 vascular plants, 630 cryptogams","",2426,NA,"1796 vascular plants, 630 cryptogams","","2426","Kerry Johnston","","kjohnston@blm.gov","2795 Anderson Ave. Bldg. 25","Klamath Falls","Oregon","97601","2795 Anderson Ave. Bldg. 25","Klamath Falls","Oregon","97601","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=247399","","",42.1829,-121.7558
"Smithsonian Institution National Museum of Natural History","Invertebrate Zoology","a6eee223-cf3b-4079-8bb2-b77dad8cae9d","{""recordset"":""a6eee223-cf3b-4079-8bb2-b77dad8cae9d"",""collectioncode"":""Invertebrate Zoology""}","USNM","Invertebrate Zoology","urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6","http://grbio.org/cool/abck-1zsq","http://invertebrates.si.edu/","http://collections.nmnh.si.edu/search/iz/","","",NA,NA,"","","","Jon L. Norenburg","Chair","norenburgj@si.edu","National Museum of Natural History, MRC 163, PO BOX 37012","Suitland","Maryland","20746","10th Street and Constitution Avenue, NW","Suitland","Maryland","20746","urn:uuid:4fcd6058-bf89-4770-a692-60334160e449","","","","","","",38.8304,-76.9017
"Virginia Museum of Natural History","Invertebrate Paleontology","a2a7754b-2346-496d-b681-eb754ef32b9e, 4c46db9d-74d7-4e45-9ed2-0da40ec6b44f","{""recordset"":[""a2a7754b-2346-496d-b681-eb754ef32b9e"",""4c46db9d-74d7-4e45-9ed2-0da40ec6b44f""]}","VMNH","Invertebrate Paleontology","urn:uuid:f17e9b6b-ef1e-40d9-8618-eee2da65c443","","http://www.vmnh.net/collections","","","",NA,NA,"","","","Haley Cartmell","Collections Manager","haley.cartmell@vmnh.virginia.gov","21 Starling Avenue","Martinsville","Virginia","24112","21 Starling Avenue","Martinsville","Virginia","24112","urn:uuid:906d26a2-01e3-42a8-a099-614cb2e1ca83","","","","","","",36.6866,-79.8634
"Missouri Southern State College","Herbarium","","","MCJ<IH>","","urn:uuid:f1879d15-1d81-43d1-a99d-4f3a74de1b73","urn:lsid:biocol.org:col:13593","","","","",NA,NA,"","","","Dorothy C. Bay","Director","Bay-D@mssu.edu","Biology Department","Joplin","Missouri","64801-1595","","Joplin","Missouri","64801-1595","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=125280","","",37.1133,-94.5027
"Bruce Museum of Arts and Science","Paleontology/ Paleobiology","","","","","urn:uuid:f1a4c744-8e2b-4d58-b9c5-6f772378bcf3","","","","Fossils, casts","",NA,NA,"","","717","Daniel Sepka","","dksepka@brucemuseum.org","1 Museum Drive","Greenwich","Connecticut","06830-0000","1 Museum Drive","Greenwich","Connecticut","06830-0000","","","","","","","",41.0199,-73.6252
"University of Alabama, Huntsville (Herbarium)","Herbarium","","","HALA<IH>","","urn:uuid:f1a918b0-b6e7-4622-92f2-afcc7ddd54df","urn:lsid:biocol.org:col:13341","","","","",NA,NA,"","","","Robert Lawton","","lawtonr@uah.edu","Biological Sciences Department, University of Alabama - Huntsville","Huntsville","Alabama","35899","Sparkman Drive., University of Alabama - Huntsville","Huntsville","Alabama","35899","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=126579","","",34.7325,-86.6408
"University of California Santa Cruz","Mammals","","","","","urn:uuid:f1acd2fe-2631-4964-9ce7-36f2b0f1dd03","","http://mnhc.ucsc.edu/coll_res/collections/mammals.shtml","","","",NA,NA,"","","","Chris Lay","Curator","cml@ucsc.edu","Department of Environmental Studies, Museum of Natural History, 1156 High St.","Santa Cruz","California","95064","1156 High Street, Natural Sciences 2 building","Santa Cruz","California","95064","urn:uuid:7732a3ac-43ed-4a69-aa0a-d0c99c415e80","","","","","","",36.9775,-122.0559
"Santa Barbara Museum of Natural History","Herpetology","9d8ced48-62c5-4ce0-99e7-a03550c674c0","{""recordset"":[""9d8ced48-62c5-4ce0-99e7-a03550c674c0""],""collectioncode"":[""he""]}","SBMNH","he","urn:uuid:f200fe1b-a752-4165-b036-aece4133366d","http://grbio.org/cool/tw7f-rm3v","http://www.sbnature.org/crc/49.html","http://www.sbcollections.org/","","",NA,NA,"","","","Paul W. Collins","Curator","pcollins@sbnature2.org","Santa Barbara Museum of Natural History, 2559 Puesta del Sol","Santa Barbara","California","93105","Santa Barbara Museum of Natural History, 2559 Puesta del Sol","Santa Barbara","California","93105","urn:uuid:55f075d8-8f18-4bdc-a710-f26bfbdb6ebd","","","","","","",34.4414,-119.7134
"Illinois State Museum","Geology","","","","","urn:uuid:f216b72d-aca1-4daf-aed6-3c1bcca274f5","","http://www.museum.state.il.us/ismdepts/geology/collections.html","http://www.museum.state.il.us/ismdepts/geology/collections.html","","",NA,NA,"","","","Jeffrey Saunders","Curator","saunders@museum.state.il.us","1011 East Ash Street.","Springfield","Illinois","62703","1011 East Ash Street.","Springfield","Illinois","62703","urn:uuid:e9fd8138-eefc-4c55-9e17-ae2124fbbba9","","","","","","",39.7794,-89.6432
"Northeastern State University","Herbarium","","","NOSU<IH>","","urn:uuid:f282378e-6cff-41e4-be78-0f59b02f5ef6","urn:lsid:biocol.org:col:13053","","","","",NA,NA,"","","","Monica Washmon Macklin","","macklin@cherokee.nsuok.edu","Natural Sciences and Mathematics Department","Tahlequah","Oklahoma","74464-7098","","Tahlequah","Oklahoma","74464-7098","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=125545","","",35.9281,-94.8402
"University of New Mexico, Museum of Southwestern Biology","Natural Heritage New Mexico","","","MSB","","urn:uuid:f290f917-02b4-419e-8bef-e22943ce9d35","","http://nhnm.unm.edu/","http://nhnm.unm.edu/data/free_info.php","","",NA,NA,"","","","Esteban Muldavin","Division Leader","muldavin@unm.edu","Museum of Southwestern Biology, MSC03 2020, University of New Mexico","Albuquerque","New Mexico","87131-0001","Museum of Southwestern Biology, MSC03 2020, University of New Mexico","Albuquerque","New Mexico","87131-0001","urn:uuid:83441270-bc50-4e1d-9eb9-42d4e3255bf4","","","","","","",35.0832,-106.6218
